2025-06-17 14:00:59 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 31.6
2025-06-17 14:01:04 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:01:04 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:01:04 | INFO     | vehicle_detection.broadcaster |    Frames processed: 660
2025-06-17 14:01:04 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 21
2025-06-17 14:01:04 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:01:04 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.5
2025-06-17 14:01:04 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 10.0
2025-06-17 14:01:04 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.095s
2025-06-17 14:01:04 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 35.7
2025-06-17 14:01:09 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:01:09 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:01:09 | INFO     | vehicle_detection.broadcaster |    Frames processed: 756
2025-06-17 14:01:09 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 23
2025-06-17 14:01:09 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:01:09 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.4
2025-06-17 14:01:09 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 9.9
2025-06-17 14:01:09 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.096s
2025-06-17 14:01:09 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 37.9
2025-06-17 14:01:14 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:01:14 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:01:14 | INFO     | vehicle_detection.broadcaster |    Frames processed: 844
2025-06-17 14:01:14 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 20
2025-06-17 14:01:14 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:01:14 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 9.7
2025-06-17 14:01:14 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 9.3
2025-06-17 14:01:14 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.103s
2025-06-17 14:01:14 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 38.0
2025-06-17 14:01:19 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:01:19 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:01:19 | INFO     | vehicle_detection.broadcaster |    Frames processed: 952
2025-06-17 14:01:19 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 13
2025-06-17 14:01:19 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:01:19 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.2
2025-06-17 14:01:19 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 9.7
2025-06-17 14:01:19 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.098s
2025-06-17 14:01:19 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 34.1
2025-06-17 14:01:24 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:01:24 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:01:24 | INFO     | vehicle_detection.broadcaster |    Frames processed: 1056
2025-06-17 14:01:24 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 18
2025-06-17 14:01:24 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:01:24 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 11.2
2025-06-17 14:01:24 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 10.6
2025-06-17 14:01:24 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.089s
2025-06-17 14:01:24 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 31.0
2025-06-17 14:01:29 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:01:29 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:01:29 | INFO     | vehicle_detection.broadcaster |    Frames processed: 1148
2025-06-17 14:01:29 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 10
2025-06-17 14:01:29 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:01:29 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.4
2025-06-17 14:01:29 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 9.8
2025-06-17 14:01:29 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.097s
2025-06-17 14:01:29 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 28.0
2025-06-17 14:01:34 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:01:34 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:01:34 | INFO     | vehicle_detection.broadcaster |    Frames processed: 1250
2025-06-17 14:01:34 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 19
2025-06-17 14:01:34 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:01:34 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.3
2025-06-17 14:01:34 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 9.7
2025-06-17 14:01:34 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.097s
2025-06-17 14:01:34 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 25.3
2025-06-17 14:01:40 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:01:40 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:01:40 | INFO     | vehicle_detection.broadcaster |    Frames processed: 1348
2025-06-17 14:01:40 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 23
2025-06-17 14:01:40 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:01:40 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.6
2025-06-17 14:01:40 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 10.0
2025-06-17 14:01:40 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.095s
2025-06-17 14:01:40 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 32.4
2025-06-17 14:01:45 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:01:45 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:01:45 | INFO     | vehicle_detection.broadcaster |    Frames processed: 1442
2025-06-17 14:01:45 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 15
2025-06-17 14:01:45 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:01:45 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.2
2025-06-17 14:01:45 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 9.6
2025-06-17 14:01:45 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.098s
2025-06-17 14:01:45 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 38.1
2025-06-17 14:35:39 | INFO     | vehicle_detection | 🚀 Vehicle Detection Server
2025-06-17 14:35:39 | INFO     | vehicle_detection.app | 🌟 M1 Pro Vehicle Detection Server
2025-06-17 14:35:39 | INFO     | vehicle_detection.app | ==================================================
2025-06-17 14:35:39 | INFO     | vehicle_detection.app | 📍 URL: http://0.0.0.0:1234
2025-06-17 14:35:39 | INFO     | vehicle_detection.app | 🎯 Vehicle Classes: car, truck, bus, motorcycle, bicycle
2025-06-17 14:35:39 | INFO     | vehicle_detection.app | 🔧 Configuration: type
2025-06-17 14:35:39 | INFO     | vehicle_detection.app | ==================================================
2025-06-17 14:35:39 | INFO     | vehicle_detection.app | 🚀 Starting M1 Pro Vehicle Detection Server...
2025-06-17 14:35:39 | INFO     | vehicle_detection.app | 📁 Video path: /Users/alim/Documents/GUB Final Project/Ai-Traffic-Management/detection-logic/resources/1.mp4
2025-06-17 14:35:39 | INFO     | vehicle_detection.app | 🎯 Target FPS: 30
2025-06-17 14:35:39 | INFO     | vehicle_detection.app | 🔧 Debug mode: False
2025-06-17 14:35:39 | INFO     | vehicle_detection.app | 🧠 Initializing AI model...
2025-06-17 14:35:39 | INFO     | vehicle_detection.device_optimizer | 🚀 Starting device optimization...
2025-06-17 14:35:39 | INFO     | vehicle_detection.device_optimizer | ✓ MPS optimizations applied
2025-06-17 14:35:39 | INFO     | vehicle_detection.device_optimizer | 📋 Generated 4 test frames
2025-06-17 14:35:39 | INFO     | vehicle_detection.device_optimizer | 🧠 Testing model: yolov8n.pt
2025-06-17 14:35:40 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking CPU...
2025-06-17 14:35:41 | INFO     | vehicle_detection.device_optimizer | 📊 CPU: 0.392s/frame (1.566s total)
2025-06-17 14:35:41 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking MPS...
2025-06-17 14:35:42 | INFO     | vehicle_detection.device_optimizer | 📊 MPS: 0.015s/frame (0.061s total)
2025-06-17 14:35:42 | INFO     | vehicle_detection.device_optimizer | 📊 yolov8n.pt results:
2025-06-17 14:35:42 | INFO     | vehicle_detection.device_optimizer |    CPU: 0.392s (2.6 FPS)
2025-06-17 14:35:42 | INFO     | vehicle_detection.device_optimizer |    MPS: 0.015s (65.2 FPS)
2025-06-17 14:35:42 | INFO     | vehicle_detection.device_optimizer | 🏆 New best: yolov8n.pt on CPU
2025-06-17 14:35:42 | INFO     | vehicle_detection.device_optimizer | 🏆 New best: yolov8n.pt on MPS
2025-06-17 14:35:42 | INFO     | vehicle_detection.device_optimizer | 🧠 Testing model: yolov8s.pt
2025-06-17 14:35:42 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking CPU...
2025-06-17 14:35:42 | INFO     | vehicle_detection.device_optimizer | 📊 CPU: 0.123s/frame (0.491s total)
2025-06-17 14:35:42 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking MPS...
2025-06-17 14:35:43 | INFO     | vehicle_detection.device_optimizer | 📊 MPS: 0.026s/frame (0.103s total)
2025-06-17 14:35:43 | INFO     | vehicle_detection.device_optimizer | 📊 yolov8s.pt results:
2025-06-17 14:35:43 | INFO     | vehicle_detection.device_optimizer |    CPU: 0.123s (8.2 FPS)
2025-06-17 14:35:43 | INFO     | vehicle_detection.device_optimizer |    MPS: 0.026s (39.0 FPS)
2025-06-17 14:35:43 | INFO     | vehicle_detection.device_optimizer | 🧠 Testing model: yolov8m.pt
2025-06-17 14:35:43 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking CPU...
2025-06-17 14:35:44 | INFO     | vehicle_detection.device_optimizer | 📊 CPU: 0.252s/frame (1.008s total)
2025-06-17 14:35:44 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking MPS...
2025-06-17 14:35:44 | INFO     | vehicle_detection.device_optimizer | 📊 MPS: 0.037s/frame (0.149s total)
2025-06-17 14:35:44 | INFO     | vehicle_detection.device_optimizer | 📊 yolov8m.pt results:
2025-06-17 14:35:44 | INFO     | vehicle_detection.device_optimizer |    CPU: 0.252s (4.0 FPS)
2025-06-17 14:35:44 | INFO     | vehicle_detection.device_optimizer |    MPS: 0.037s (26.9 FPS)
2025-06-17 14:35:44 | INFO     | vehicle_detection.device_optimizer | 🎯 Final Selection:
2025-06-17 14:35:44 | INFO     | vehicle_detection.device_optimizer |    Model: /Users/alim/Documents/GUB Final Project/Ai-Traffic-Management/detection-logic/model/yolov8n.pt
2025-06-17 14:35:44 | INFO     | vehicle_detection.device_optimizer |    Device: MPS
2025-06-17 14:35:44 | INFO     | vehicle_detection.device_optimizer |    Performance: 0.015s/frame (65.2 FPS)
2025-06-17 14:35:44 | INFO     | vehicle_detection.device_optimizer | 📊 Complete benchmark results:
2025-06-17 14:35:44 | INFO     | vehicle_detection.device_optimizer |    yolov8n.pt: CPU=2.6fps, MPS=65.2fps
2025-06-17 14:35:44 | INFO     | vehicle_detection.device_optimizer |    yolov8s.pt: CPU=8.2fps, MPS=39.0fps
2025-06-17 14:35:44 | INFO     | vehicle_detection.device_optimizer |    yolov8m.pt: CPU=4.0fps, MPS=26.9fps
2025-06-17 14:35:44 | INFO     | vehicle_detection.app | 🔍 Setting up vehicle detector...
2025-06-17 14:35:44 | INFO     | vehicle_detection.detector | 🔧 Detector initialized: MPS
2025-06-17 14:35:44 | INFO     | vehicle_detection.detector | 📋 Vehicle classes: car, truck, bus, motorcycle, bicycle
2025-06-17 14:35:44 | INFO     | vehicle_detection.app | 📡 Starting video broadcaster...
2025-06-17 14:35:44 | INFO     | vehicle_detection.broadcaster | 📹 Video properties: 1280x720, 25.0fps, 7737 frames
2025-06-17 14:35:44 | INFO     | vehicle_detection.broadcaster | 🎥 Broadcaster initialized: /Users/alim/Documents/GUB Final Project/Ai-Traffic-Management/detection-logic/resources/1.mp4
2025-06-17 14:35:44 | INFO     | vehicle_detection.broadcaster | 📊 Batch size: 2
2025-06-17 14:35:44 | INFO     | vehicle_detection.broadcaster | ▶️  Broadcasting started
2025-06-17 14:35:44 | INFO     | vehicle_detection.app | ✅ Server startup complete!
2025-06-17 14:35:44 | INFO     | vehicle_detection.app | 🌐 Access the server at: http://0.0.0.0:1234
2025-06-17 14:35:44 | INFO     | vehicle_detection.app | 🔗 WebSocket endpoint: ws://0.0.0.0:1234/ws
2025-06-17 14:35:44 | INFO     | vehicle_detection.app | 📊 Health check: http://0.0.0.0:1234/health
2025-06-17 14:35:44 | INFO     | vehicle_detection.broadcaster | 🚀 Starting broadcast loop
2025-06-17 14:35:45 | WARNING  | vehicle_detection.detector | ⚠️  Slow detection: 0.337s for 2 frames
2025-06-17 14:35:45 | INFO     | vehicle_detection.broadcaster | 🔌 Client connected (total: 1)
2025-06-17 14:35:45 | INFO     | vehicle_detection.app | 🔌 WebSocket connected from 127.0.0.1
2025-06-17 14:35:45 | WARNING  | vehicle_detection.detector | ⚠️  Slow detection: 0.255s for 2 frames
2025-06-17 14:35:45 | ERROR    | vehicle_detection.app | ❌ Request error: Not Found
2025-06-17 14:35:47 | ERROR    | vehicle_detection.app | ❌ Request error: Not Found
2025-06-17 14:35:49 | ERROR    | vehicle_detection.app | ❌ Request error: Not Found
2025-06-17 14:35:50 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:35:50 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-06-17 14:35:50 | INFO     | vehicle_detection.broadcaster |    Frames processed: 70
2025-06-17 14:35:50 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 14
2025-06-17 14:35:50 | INFO     | vehicle_detection.broadcaster |    Connected clients: 1
2025-06-17 14:35:50 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 7.2
2025-06-17 14:35:50 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 6.9
2025-06-17 14:35:50 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.139s
2025-06-17 14:35:50 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 25.0
2025-06-17 14:35:51 | ERROR    | vehicle_detection.app | ❌ Request error: Not Found
2025-06-17 14:35:53 | ERROR    | vehicle_detection.app | ❌ Request error: Not Found
2025-06-17 14:35:55 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-06-17 14:35:55 | INFO     | vehicle_detection.broadcaster |    Device: MPS
